epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Channel 8,Exoskeleton time (seconds)
1778698111.084898,0,0.000000,-0.070000,0.000000,0.000000,-117.630000,38.160000,0.230000,0.000000,8.000000,145.050000
1778698111.084898,0,0.000000,-0.100000,0.000000,0.000000,245.630000,38.150000,0.230000,0.000000,8.000000,145.050000
1778698111.116757,0,0.000000,-0.150000,0.000000,0.000000,310.540000,38.160000,0.230000,0.000000,8.000000,145.070000
1778698111.116757,0,0.000000,-0.100000,0.000000,0.000000,228.600000,38.160000,0.250000,0.000000,8.000000,145.080000
1778698111.116757,0,0.000000,-0.150000,0.000000,0.000000,-187.550000,38.130000,0.250000,0.000000,8.000000,145.080000
1778698111.116757,0,0.000000,-0.120000,0.000000,0.000000,-6.510000,38.130000,0.250000,0.000000,8.000000,145.100000
1778698111.148380,0,0.000000,-0.110000,0.000000,0.000000,275.860000,38.150000,0.250000,0.000000,8.000000,145.110000
1778698111.148380,0,0.000000,-0.070000,0.000000,0.000000,82.720000,38.160000,0.250000,0.000000,8.000000,145.110000
1778698111.164190,0,0.000000,-0.100000,0.000000,0.000000,320.670000,38.150000,0.250000,0.000000,8.000000,145.130000
1778698111.180098,0,0.000000,-0.100000,0.000000,0.000000,-24.950000,38.160000,0.250000,0.000000,8.000000,145.130000
1778698111.180098,0,0.000000,-0.070000,0.000000,0.000000,-242.410000,38.090000,0.230000,0.000000,8.000000,145.140000
1778698111.195866,0,0.000000,-0.030000,0.000000,0.000000,-155.670000,38.150000,0.250000,0.000000,8.000000,145.160000
1778698111.195866,0,0.000000,-0.070000,0.000000,0.000000,162.750000,38.160000,0.230000,0.000000,8.000000,145.160000
1778698111.195866,0,0.000000,-0.070000,0.000000,0.000000,151.220000,38.160000,0.230000,0.000000,8.000000,145.170000
1778698111.211658,0,0.000000,-0.070000,0.000000,0.000000,28.620000,38.160000,0.250000,0.000000,8.000000,145.190000
1778698111.227352,0,0.000000,-0.090000,0.000000,0.000000,-246.970000,38.160000,0.250000,0.000000,8.000000,145.190000
1778698111.227352,0,0.000000,-0.100000,0.000000,0.000000,188.610000,38.130000,0.230000,0.000000,8.000000,145.210000
1778698111.259537,0,0.000000,-0.050000,0.000000,0.000000,137.360000,38.060000,0.230000,0.000000,8.000000,145.220000
1778698111.259537,0,0.000000,-0.050000,0.000000,0.000000,139.130000,38.130000,0.230000,0.000000,8.000000,145.220000
1778698111.259537,0,0.000000,-0.070000,0.000000,0.000000,-184.130000,38.150000,0.230000,0.000000,8.000000,145.240000
1778698111.259537,0,0.000000,-0.070000,0.000000,0.000000,23.340000,38.150000,0.230000,0.000000,8.000000,145.250000
1778698111.290816,0,0.000000,-0.050000,0.000000,0.000000,156.970000,38.130000,0.250000,0.000000,8.000000,145.250000
1778698111.290816,0,0.000000,-0.100000,0.000000,0.000000,224.360000,38.150000,0.230000,0.000000,8.000000,145.270000
1778698111.322830,0,0.000000,-0.070000,0.000000,0.000000,182.050000,38.160000,0.230000,0.000000,8.000000,145.270000
1778698111.322830,0,0.000000,-0.050000,0.000000,0.000000,117.630000,38.180000,0.230000,0.000000,8.000000,145.280000
1778698111.322830,0,0.000000,-0.050000,0.000000,0.000000,128.690000,38.150000,0.230000,0.000000,8.000000,145.300000
1778698111.322830,0,0.000000,-0.070000,0.000000,0.000000,-218.250000,38.150000,0.230000,0.000000,8.000000,145.300000
1778698111.338505,0,0.000000,-0.070000,0.000000,0.000000,18.790000,38.150000,0.250000,0.000000,8.000000,145.320000
1778698111.370193,0,0.000000,-0.100000,0.000000,0.000000,292.250000,38.160000,0.230000,0.000000,8.000000,145.330000
1778698111.370193,0,0.000000,-0.110000,0.000000,0.000000,262.270000,38.150000,0.230000,0.000000,8.000000,145.330000
1778698111.370193,0,0.000000,-0.100000,0.000000,0.000000,244.280000,38.150000,0.230000,0.000000,8.000000,145.350000
1778698111.370193,0,0.000000,-0.090000,0.000000,0.000000,-78.980000,38.130000,0.250000,0.000000,8.000000,145.360000
1778698111.402183,0,0.000000,-0.070000,0.000000,0.000000,112.720000,38.180000,0.230000,0.000000,8.000000,145.360000
