epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Ankle Angle,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1770143452.527360,0,-30.850000,0.000000,0.000000,0.140000,18.140000,0.000000,0.310000,0.330000,8.000000,28.370000
1770143452.543001,0,-10.390000,0.000000,0.000000,0.070000,17.120000,0.000000,0.340000,0.100000,8.000000,28.380000
1770143452.543001,0,-70.560000,0.000000,0.000000,0.310000,16.310000,0.000000,0.370000,0.000000,8.000000,28.390000
1770143452.574587,0,-67.440000,0.000000,0.000000,0.340000,16.000000,0.000000,0.380000,0.210000,8.000000,28.420000
1770143452.590683,0,-74.790000,0.000000,0.000000,0.370000,15.930000,0.000000,0.400000,0.000000,8.000000,28.430000
1770143452.606561,0,-107.760000,0.000000,0.000000,0.510000,16.380000,0.000000,0.430000,0.330000,8.000000,28.450000
1770143452.622484,0,-125.760000,0.000000,0.000000,0.610000,17.550000,0.000000,0.440000,0.100000,8.000000,28.450000
1770143452.638511,0,-111.940000,0.000000,0.000000,0.560000,18.790000,0.000000,0.460000,0.100000,8.000000,28.470000
1770143452.638511,0,-113.650000,0.000000,0.000000,0.580000,20.500000,0.000000,0.470000,0.210000,8.000000,28.480000
1770143452.670456,0,-111.720000,0.000000,0.000000,0.560000,23.630000,0.000000,0.490000,0.100000,8.000000,28.510000
1770143452.670456,0,-120.860000,0.000000,0.000000,0.550000,26.370000,0.000000,0.490000,0.100000,8.000000,28.520000
1770143452.701979,0,-111.790000,0.000000,0.000000,0.560000,29.480000,0.000000,0.500000,0.210000,8.000000,28.540000
1770143452.717703,0,-110.330000,0.000000,0.000000,0.550000,32.610000,0.000000,0.500000,0.330000,8.000000,28.540000
1770143452.733411,0,-140.970000,0.000000,0.000000,0.670000,35.990000,0.000000,0.500000,0.210000,8.000000,28.560000
1770143452.749483,0,-128.420000,0.000000,0.000000,0.640000,38.900000,0.000000,0.500000,0.100000,8.000000,28.570000
1770143452.749483,0,-156.020000,0.000000,0.000000,0.730000,41.630000,0.000000,0.500000,0.430000,8.000000,28.600000
