epoch,mark,Desired Torque (L),Measured Torque (L),Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769027949.068495,0,0.000000,0.000000,0.000000,-0.020000,19.630000,0.000000,0.000000,0.830000,8.000000,31.150000
1769027949.068495,0,0.000000,0.000000,0.000000,0.000000,19.470000,0.000000,0.000000,0.830000,8.000000,31.170000
1769027949.091152,0,0.000000,0.000000,0.000000,-0.090000,19.200000,0.000000,0.000000,0.820000,8.000000,31.190000
1769027949.099794,0,0.000000,0.000000,0.000000,-0.100000,19.420000,0.000000,0.000000,0.820000,8.000000,31.200000
1769027949.099794,0,0.000000,0.000000,0.000000,-0.020000,19.530000,0.000000,0.000000,0.820000,8.000000,31.210000
1769027949.131316,0,0.000000,0.000000,0.000000,-0.140000,19.530000,0.000000,0.000000,0.820000,8.000000,31.230000
1769027949.146956,0,0.000000,0.000000,0.000000,-0.120000,19.420000,0.000000,0.000000,0.820000,8.000000,31.250000
1769027949.162614,0,0.000000,0.000000,0.000000,-0.930000,18.340000,0.000000,0.000000,0.810000,8.000000,31.260000
1769027949.178269,0,0.000000,0.000000,0.000000,-0.300000,19.470000,0.000000,0.000000,0.820000,8.000000,31.280000
1769027949.193918,0,0.000000,0.000000,0.000000,-0.360000,18.870000,0.000000,0.000000,0.820000,8.000000,31.290000
1769027949.241218,0,0.000000,0.000000,0.000000,-0.430000,18.980000,0.000000,0.000000,0.810000,8.000000,31.300000
1769027949.273345,0,0.000000,0.000000,0.000000,-0.370000,18.980000,0.000000,0.000000,0.810000,8.000000,31.310000
1769027949.298229,0,0.000000,0.000000,0.000000,-0.410000,18.930000,0.000000,0.000000,0.810000,8.000000,31.340000
1769027949.305011,0,0.000000,0.000000,0.000000,-0.380000,19.200000,0.000000,0.000000,0.810000,8.000000,31.350000
1769027949.315551,0,0.000000,0.000000,0.000000,-0.340000,19.200000,0.000000,0.000000,0.810000,8.000000,31.370000
1769027949.324336,0,0.000000,0.000000,0.000000,-0.540000,19.100000,0.000000,0.000000,0.810000,8.000000,31.400000
1769027949.338998,0,0.000000,0.000000,0.000000,-0.460000,18.980000,0.000000,0.000000,0.810000,8.000000,31.430000
1769027949.347684,0,0.000000,0.000000,0.000000,-0.490000,19.040000,0.000000,0.000000,0.810000,8.000000,31.440000
1769027949.367842,0,0.000000,0.000000,0.000000,-0.500000,18.870000,0.000000,0.000000,0.810000,8.000000,31.450000
1769027949.383955,0,0.000000,0.000000,0.000000,-0.560000,18.980000,0.000000,0.000000,0.810000,8.000000,31.460000
1769027949.399682,0,0.000000,0.000000,0.000000,-0.540000,19.140000,0.000000,0.000000,0.810000,8.000000,31.480000
1769027949.409607,0,0.000000,0.000000,0.000000,-0.600000,18.670000,0.000000,0.000000,0.810000,8.000000,31.500000
1769027949.431372,0,0.000000,0.000000,0.000000,-0.520000,19.040000,0.000000,0.000000,0.820000,8.000000,31.520000
1769027949.446730,0,0.000000,0.000000,0.000000,-0.500000,18.870000,0.000000,0.000000,0.820000,8.000000,31.530000
1769027949.478075,0,0.000000,0.000000,0.000000,-0.500000,18.820000,0.000000,0.000000,0.820000,8.000000,31.540000
1769027949.495967,0,0.000000,0.000000,0.000000,-0.540000,18.930000,0.000000,0.000000,0.820000,8.000000,31.550000
1769027949.495967,0,0.000000,0.000000,0.000000,-0.620000,18.980000,0.000000,0.000000,0.820000,8.000000,31.570000
1769027949.512784,0,0.000000,0.000000,0.000000,-0.560000,18.770000,0.000000,0.000000,0.820000,8.000000,31.590000
1769027949.512784,0,0.000000,0.000000,0.000000,-0.680000,18.450000,0.000000,0.000000,0.830000,8.000000,31.610000
1769027949.525243,0,0.000000,0.000000,0.000000,-0.910000,18.500000,0.000000,0.000000,0.830000,8.000000,31.620000
1769027949.525243,0,0.000000,0.000000,0.000000,-0.700000,18.980000,0.000000,0.000000,0.830000,8.000000,31.630000
1769027949.556155,0,0.000000,0.000000,0.000000,-0.600000,18.710000,0.000000,0.000000,0.830000,8.000000,31.640000
1769027949.571790,0,0.000000,0.000000,0.000000,-0.830000,18.610000,0.000000,0.000000,0.830000,8.000000,31.670000
1769027949.591940,0,0.000000,0.000000,0.000000,-0.880000,18.550000,0.000000,0.000000,0.830000,8.000000,31.690000
1769027949.603383,0,0.000000,0.000000,0.000000,-0.970000,18.340000,0.000000,0.000000,0.830000,8.000000,31.700000
1769027949.619030,0,0.000000,0.000000,0.000000,-1.070000,18.290000,0.000000,0.000000,0.830000,8.000000,31.710000
1769027949.619030,0,0.000000,0.000000,0.000000,-1.190000,18.230000,0.000000,0.000000,0.830000,8.000000,31.720000
1769027949.656349,0,0.000000,0.000000,0.000000,-1.220000,18.020000,0.000000,0.000000,0.830000,8.000000,31.750000
1769027949.656349,0,0.000000,0.000000,0.000000,-1.390000,17.760000,0.000000,0.000000,0.830000,8.000000,31.760000
1769027949.665930,0,0.000000,0.000000,0.000000,-1.610000,17.440000,0.000000,0.000000,0.830000,8.000000,31.780000
1769027949.697246,0,0.000000,0.000000,0.000000,-1.690000,17.340000,0.000000,0.000000,0.830000,8.000000,31.790000
1769027949.712891,0,0.000000,0.000000,0.000000,-1.750000,17.540000,0.000000,0.000000,0.830000,8.000000,31.800000
1769027949.712891,0,0.000000,0.000000,0.000000,-1.730000,17.440000,0.000000,0.000000,0.850000,8.000000,31.810000
1769027949.731473,0,0.000000,0.000000,0.000000,-1.870000,17.180000,0.000000,0.000000,0.850000,8.000000,31.840000
1769027949.759925,0,0.000000,0.000000,0.000000,-1.980000,17.180000,0.000000,0.000000,0.850000,8.000000,31.850000
1769027949.775623,0,0.000000,0.000000,0.000000,-2.250000,16.810000,0.000000,0.000000,0.850000,8.000000,31.870000
1769027949.775623,0,0.000000,0.000000,0.000000,-2.310000,16.700000,0.000000,0.000000,0.850000,8.000000,31.870000
1769027949.807139,0,0.000000,0.000000,0.000000,-2.510000,16.290000,0.000000,0.000000,0.860000,8.000000,31.890000
1769027949.810004,0,0.000000,0.000000,0.000000,-2.760000,16.250000,0.000000,0.000000,0.860000,8.000000,31.900000
1769027949.823072,0,0.000000,0.000000,0.000000,-3.000000,16.040000,0.000000,0.000000,0.860000,8.000000,31.930000
1769027949.854666,0,0.000000,0.000000,0.000000,-3.140000,15.780000,0.000000,0.000000,0.860000,8.000000,31.940000
1769027949.854666,0,0.000000,0.000000,0.000000,-3.300000,15.430000,0.000000,0.000000,0.860000,8.000000,31.950000
1769027949.870301,0,0.000000,0.000000,0.000000,-3.500000,15.430000,0.000000,0.000000,0.850000,8.000000,31.960000
1769027949.901956,0,0.000000,0.000000,0.000000,-3.760000,15.130000,0.000000,0.000000,0.860000,8.000000,31.980000
1769027949.901956,0,0.000000,0.000000,0.000000,-3.980000,14.820000,0.000000,0.000000,0.850000,8.000000,32.000000
1769027949.917954,0,0.000000,0.000000,0.000000,-4.070000,14.770000,0.000000,0.000000,0.850000,8.000000,32.020000
1769027949.936246,0,0.000000,0.000000,0.000000,-4.050000,14.930000,0.000000,0.000000,0.850000,8.000000,32.040000
1769027949.964867,0,0.000000,0.000000,0.000000,-4.110000,14.680000,0.000000,0.000000,0.850000,8.000000,32.040000
1769027949.980601,0,0.000000,0.000000,0.000000,-4.090000,14.270000,0.000000,0.000000,0.850000,8.000000,32.060000
1769027950.012093,0,0.000000,0.000000,0.000000,-4.230000,14.320000,0.000000,0.000000,0.850000,8.000000,32.080000
1769027950.012093,0,0.000000,0.000000,0.000000,-4.070000,14.680000,0.000000,0.000000,0.850000,8.000000,32.090000
1769027950.027753,0,0.000000,0.000000,0.000000,-3.900000,15.020000,0.000000,0.000000,0.850000,8.000000,32.110000
1769027950.027753,0,0.000000,0.000000,0.000000,-3.670000,15.320000,0.000000,0.000000,0.850000,8.000000,32.130000
1769027950.074995,0,0.000000,0.000000,0.000000,-3.420000,15.520000,0.000000,0.000000,0.830000,8.000000,32.130000
1769027950.085225,0,0.000000,0.000000,0.000000,-3.260000,15.470000,0.000000,0.000000,0.830000,8.000000,32.150000
1769027950.092497,0,0.000000,0.000000,0.000000,-3.080000,15.980000,0.000000,0.000000,0.820000,8.000000,32.160000
1769027950.092497,0,0.000000,0.000000,0.000000,-2.630000,16.550000,0.000000,0.000000,0.810000,8.000000,32.180000
