epoch,mark,Desired Torque (L),Ankle Angle,Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769029746.910052,0,0.000000,0.100000,0.000000,-0.810000,18.820000,0.000000,0.000000,0.200000,8.000000,177.500000
1769029746.910052,0,0.000000,0.150000,0.000000,-0.600000,18.450000,0.000000,0.000000,0.000000,8.000000,177.520000
1769029746.928902,0,0.000000,0.100000,0.000000,-0.600000,18.870000,0.000000,0.000000,0.000000,8.000000,177.530000
1769029746.952676,0,0.000000,0.070000,0.000000,-0.500000,18.870000,0.000000,0.000000,0.200000,8.000000,177.550000
1769029746.952676,0,0.000000,0.030000,0.000000,-0.500000,18.980000,0.000000,0.000000,0.400000,8.000000,177.570000
1769029746.990324,0,0.000000,0.110000,0.000000,-0.360000,19.300000,0.000000,0.000000,0.000000,8.000000,177.580000
1769029746.990324,0,0.000000,0.110000,0.000000,-0.340000,19.300000,0.000000,0.000000,0.000000,8.000000,177.600000
1769029746.990324,0,0.000000,0.110000,0.000000,-0.310000,19.100000,0.000000,0.000000,0.800000,8.000000,177.610000
1769029747.031017,0,0.000000,0.110000,0.000000,-0.230000,19.470000,0.000000,0.000000,0.000000,8.000000,177.630000
1769029747.031017,0,0.000000,0.050000,0.000000,-0.180000,19.470000,0.000000,0.000000,0.000000,8.000000,177.640000
1769029747.031017,0,0.000000,0.110000,0.000000,-0.180000,19.420000,0.000000,0.000000,0.200000,8.000000,177.660000
1769029747.060731,0,0.000000,0.110000,0.000000,-0.120000,19.300000,0.000000,0.000000,0.000000,8.000000,177.670000
1769029747.082277,0,0.000000,0.110000,0.000000,-0.090000,19.530000,0.000000,0.000000,0.000000,8.000000,177.690000
1769029747.102607,0,0.000000,0.150000,0.000000,-0.070000,19.530000,0.000000,0.000000,0.000000,8.000000,177.710000
1769029747.102607,0,0.000000,0.100000,0.000000,0.000000,19.530000,0.000000,0.000000,0.000000,8.000000,177.720000
1769029747.125343,0,0.000000,0.100000,0.000000,-0.030000,19.590000,0.000000,0.000000,0.000000,8.000000,177.740000
1769029747.149398,0,0.000000,0.110000,0.000000,0.000000,19.530000,0.000000,0.000000,0.200000,8.000000,177.750000
1769029747.174557,0,0.000000,0.170000,0.000000,-0.050000,19.630000,0.000000,0.000000,0.200000,8.000000,177.750000
1769029747.174557,0,0.000000,1.380000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,177.770000
1769029747.195225,0,0.000000,4.030000,0.000000,0.010000,19.750000,0.000000,0.000000,0.000000,8.000000,177.780000
1769029747.220152,0,0.000000,6.880000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,177.800000
1769029747.226004,0,0.000000,9.880000,0.000000,0.000000,19.470000,0.000000,0.000000,0.000000,8.000000,177.830000
1769029747.246621,0,0.000000,13.430000,0.000000,0.110000,19.700000,0.000000,0.000000,0.000000,8.000000,177.830000
1769029747.246621,0,0.000000,17.510000,0.000000,0.000000,19.630000,0.000000,0.000000,0.000000,8.000000,177.860000
1769029747.267117,0,0.000000,21.900000,0.000000,0.000000,19.590000,0.000000,0.000000,0.200000,8.000000,177.860000
1769029747.298406,0,0.000000,26.020000,0.000000,0.020000,19.530000,0.000000,0.000000,0.200000,8.000000,177.880000
1769029747.298406,0,0.000000,30.070000,0.000000,0.020000,19.530000,0.000000,0.000000,0.000000,8.000000,177.890000
1769029747.319044,0,0.000000,33.700000,0.000000,0.000000,19.590000,0.000000,0.000000,0.000000,8.000000,177.910000
1769029747.319044,0,0.000000,37.400000,0.000000,0.050000,19.470000,0.000000,0.000000,0.000000,8.000000,177.920000
1769029747.345880,0,0.000000,40.930000,0.000000,-0.050000,19.590000,0.000000,0.000000,0.000000,8.000000,177.940000
1769029747.370273,0,0.000000,44.130000,0.000000,-0.020000,19.590000,0.000000,0.000000,0.000000,8.000000,177.960000
1769029747.370273,0,0.000000,47.200000,0.000000,0.000000,19.630000,0.000000,0.000000,0.000000,8.000000,177.970000
1769029747.392801,0,0.000000,50.020000,0.000000,0.070000,19.800000,0.000000,0.000000,0.000000,8.000000,177.990000
1769029747.392801,0,0.000000,52.400000,0.000000,0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,178.000000
1769029747.410457,0,0.000000,54.650000,0.000000,0.050000,19.700000,0.000000,0.000000,0.000000,8.000000,178.020000
1769029747.439786,0,0.000000,56.950000,0.000000,0.100000,19.590000,0.000000,0.000000,0.400000,8.000000,178.030000
1769029747.439786,0,0.000000,59.020000,0.000000,0.010000,19.630000,0.000000,0.000000,0.400000,8.000000,178.050000
1769029747.471292,0,0.000000,61.220000,0.000000,0.150000,19.590000,0.000000,0.000000,0.000000,8.000000,178.070000
1769029747.486942,0,0.000000,63.310000,0.000000,0.070000,19.590000,0.000000,0.000000,0.000000,8.000000,178.080000
1769029747.486942,0,0.000000,65.040000,0.000000,0.090000,20.030000,0.000000,0.000000,0.000000,8.000000,178.100000
1769029747.486942,0,0.000000,66.510000,0.000000,0.090000,19.750000,0.000000,0.000000,0.000000,8.000000,178.110000
1769029747.534278,0,0.000000,68.190000,0.000000,0.120000,19.920000,0.000000,0.000000,0.600000,8.000000,178.130000
1769029747.534278,0,0.000000,69.470000,0.000000,0.050000,19.530000,0.000000,0.000000,0.200000,8.000000,178.130000
1769029747.561294,0,0.000000,70.650000,0.000000,0.170000,19.800000,0.000000,0.000000,0.400000,8.000000,178.160000
1769029747.561294,0,0.000000,71.630000,0.000000,0.140000,19.530000,0.000000,0.000000,0.200000,8.000000,178.160000
1769029747.581884,0,0.000000,72.480000,0.000000,0.150000,19.700000,0.000000,0.000000,0.200000,8.000000,178.190000
1769029747.613504,0,0.000000,72.910000,0.000000,0.070000,19.700000,0.000000,0.000000,0.000000,8.000000,178.190000
1769029747.644777,0,0.000000,73.300000,0.000000,0.100000,19.700000,0.000000,0.000000,0.000000,8.000000,178.220000
1769029747.644777,0,0.000000,73.440000,0.000000,0.020000,19.700000,0.000000,0.000000,0.000000,8.000000,178.220000
1769029747.644777,0,0.000000,73.470000,0.000000,0.090000,19.630000,0.000000,0.000000,0.000000,8.000000,178.250000
1769029747.664278,0,0.000000,73.360000,0.000000,0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,178.250000
1769029747.664278,0,0.000000,72.910000,0.000000,0.050000,19.630000,0.000000,0.000000,0.000000,8.000000,178.270000
1769029747.692908,0,0.000000,71.950000,0.000000,0.110000,19.630000,0.000000,0.000000,0.000000,8.000000,178.280000
1769029747.692908,0,0.000000,70.650000,0.000000,-0.020000,19.590000,0.000000,0.000000,0.000000,8.000000,178.300000
1769029747.724489,0,0.000000,68.840000,0.000000,0.110000,19.700000,0.000000,0.000000,0.600000,8.000000,178.320000
1769029747.724489,0,0.000000,66.950000,0.000000,-0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,178.330000
1769029747.740131,0,0.000000,64.450000,0.000000,0.050000,19.470000,0.000000,0.000000,0.000000,8.000000,178.360000
1769029747.771632,0,0.000000,62.150000,0.000000,0.000000,19.700000,0.000000,0.000000,0.400000,8.000000,178.360000
1769029747.805183,0,0.000000,59.240000,0.000000,-0.090000,19.530000,0.000000,0.000000,0.200000,8.000000,178.380000
1769029747.806206,0,0.000000,55.900000,0.000000,-0.050000,19.630000,0.000000,0.000000,0.000000,8.000000,178.390000
1769029747.818787,0,0.000000,52.560000,0.000000,-0.020000,19.630000,0.000000,0.000000,0.000000,8.000000,178.410000
1769029747.818787,0,0.000000,49.380000,0.000000,-0.120000,19.530000,0.000000,0.000000,0.000000,8.000000,178.420000
