epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Battery Level (Volts),Exoskeleton time (seconds)
1774478846.505202,0,0.000000,0.200000,0.680000,0.000000,-45.450000,48.740000,6.320000,0.000000,24.170000,45.040000
1774478846.526192,0,0.000000,0.250000,0.680000,0.000000,-159.670000,50.290000,6.340000,0.000000,24.140000,45.060000
1774478846.548901,0,0.000000,0.000000,0.680000,0.000000,16.200000,51.810000,6.210000,0.000000,24.200000,45.060000
1774478846.552958,0,0.000000,0.100000,0.690000,0.000000,-65.430000,53.330000,6.070000,0.000000,24.180000,45.090000
1774478846.568651,0,0.000000,-0.050000,0.690000,0.000000,65.050000,54.700000,5.940000,0.000000,24.200000,45.090000
1774478846.584303,0,0.000000,-0.180000,0.680000,0.000000,77.690000,55.700000,5.650000,0.000000,24.220000,45.110000
1774478846.600004,0,0.000000,-0.270000,0.690000,0.000000,159.850000,56.790000,5.440000,0.000000,24.220000,45.130000
1774478846.616000,0,0.000000,-0.300000,0.690000,0.000000,138.830000,57.220000,5.280000,0.000000,24.210000,45.150000
1774478846.631634,0,0.000000,-0.360000,0.670000,0.000000,149.190000,57.130000,5.250000,0.000000,24.190000,45.150000
1774478846.647551,0,0.000000,-0.310000,0.620000,0.400000,132.270000,56.470000,5.320000,0.000000,24.190000,45.180000
1774478846.663226,0,0.000000,-0.250000,0.560000,0.000000,117.940000,55.500000,5.440000,0.000000,24.170000,45.200000
1774478846.678868,0,0.000000,-0.180000,0.500000,0.000000,114.330000,54.330000,5.440000,0.000000,24.190000,45.200000
1774478846.694640,0,0.000000,-0.140000,0.440000,0.000000,49.770000,53.240000,5.590000,0.000000,24.170000,45.220000
1774478846.710343,0,0.000000,0.000000,0.400000,0.000000,9.250000,51.830000,5.340000,0.000000,24.210000,45.240000
1774478846.726098,0,0.000000,0.000000,0.340000,0.000000,-47.290000,50.830000,5.260000,0.000000,24.200000,45.250000
1774478846.741803,0,0.000000,0.030000,0.280000,0.000000,-12.270000,49.910000,5.090000,0.000000,24.200000,45.270000
1774478846.757577,0,0.000000,0.140000,0.250000,0.000000,-93.470000,49.150000,4.960000,0.000000,24.210000,45.290000
1774478846.773264,0,0.000000,0.070000,0.230000,0.000000,-84.560000,48.810000,4.840000,0.000000,24.200000,45.290000
1774478846.788899,0,0.000000,0.180000,0.230000,0.000000,-66.190000,48.720000,4.730000,0.000000,24.200000,45.310000
