epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeletottery Level (Volts)
1772555123.112613,0,0.000000,32.500000,0.000000,0.070000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.500000
1772555123.112613,0,0.000000,32.490000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.270000,8.000000,47.500000
1772555123.128275,0,0.000000,32.470000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,47.520000
1772555123.144335,0,0.000000,32.490000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.270000,8.000000,47.540000
1772555123.160243,0,0.000000,32.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.560000
1772555123.160243,0,0.000000,32.500000,0.000000,0.070000,0.000000,0.000000,0.000000,0.150000,8.000000,47.560000
1772555123.191911,0,0.000000,32.490000,0.000000,0.030000,0.000000,0.000000,0.000000,0.500000,8.000000,47.590000
1772555123.207694,0,0.000000,32.490000,0.000000,0.050000,0.000000,0.000000,0.000000,0.270000,8.000000,47.590000
1772555123.223411,0,0.000000,32.500000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,47.610000
1772555123.239396,0,0.000000,32.490000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.270000,8.000000,47.630000
1772555123.257031,0,0.000000,32.520000,0.000000,0.100000,0.000000,0.000000,0.000000,0.150000,8.000000,47.650000
1772555123.270722,0,0.000000,32.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.650000
1772555123.286416,0,0.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.680000
1772555123.302482,0,0.000000,32.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.680000
1772555123.318469,0,0.000000,32.500000,0.000000,0.030000,0.000000,0.000000,0.000000,0.380000,8.000000,47.700000
1772555123.427690,0,0.000000,32.500000,0.000000,0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,47.720000
1772555123.430306,0,0.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.740000
1772555123.446262,0,0.000000,32.360000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,47.750000
1772555123.457485,0,0.000000,32.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.770000
1772555123.457485,0,0.000000,32.220000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,47.810000
1772555123.462052,0,0.000000,32.380000,0.000000,0.100000,0.000000,0.000000,0.000000,0.020000,8.000000,47.840000
1772555123.462052,0,0.000000,32.560000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,47.860000
1772555123.518740,0,0.000000,32.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,47.880000
1772555123.525135,0,0.000000,32.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,47.880000
1772555123.525135,0,0.000000,32.840000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,47.900000
1772555123.525135,0,0.000000,32.840000,0.000000,0.120000,0.000000,0.000000,0.000000,-0.070000,8.000000,47.910000
1772555123.557599,0,0.000000,32.750000,0.000000,0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,47.930000
1772555123.572337,0,0.000000,32.830000,0.000000,0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,47.950000
1772555123.572337,0,0.000000,32.790000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,47.970000
1772555123.588281,0,0.000000,32.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,8.000000,47.970000
1772555123.619727,0,0.000000,32.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,8.000000,48.000000
1772555123.635360,0,0.000000,32.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,48.000000
1772555123.657824,0,0.000000,31.950000,0.000000,0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,48.020000
