epoch,mark,PWM Signal,Ankle Angle,Desired Torque (R),Measured Torque (R),Unused,Stance Phase (R),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769637630.277842,0,-20.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,45.470000
1769637630.309484,0,-44.650000,0.000000,0.000000,0.280000,0.000000,0.000000,0.000000,0.000000,8.000000,45.490000
1769637630.340940,0,-64.590000,0.000000,0.000000,0.620000,0.000000,0.000000,0.000000,0.000000,8.000000,45.500000
1769637630.340940,0,1.030000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,8.000000,45.500000
1769637630.340940,0,-14.560000,0.000000,0.000000,0.770000,0.000000,0.000000,0.000000,0.000000,8.000000,45.520000
1769637630.356697,0,-7.590000,0.000000,0.000000,0.820000,0.000000,0.000000,0.000000,0.000000,8.000000,45.540000
1769637630.356697,0,5.070000,0.000000,0.000000,0.860000,0.000000,0.000000,0.000000,0.000000,8.000000,45.560000
1769637630.395471,0,4.800000,0.000000,0.000000,0.930000,0.000000,0.000000,0.000000,0.200000,8.000000,45.560000
1769637630.420610,0,-2.020000,0.000000,0.000000,1.010000,0.000000,0.000000,0.000000,0.100000,8.000000,45.590000
1769637630.421130,0,-4.090000,0.000000,0.000000,1.050000,0.000000,0.000000,0.000000,0.000000,8.000000,45.590000
1769637630.435179,0,-1.130000,0.000000,0.000000,1.110000,0.000000,0.000000,0.000000,0.000000,8.000000,45.610000
1769637630.467349,0,-11.860000,0.000000,0.000000,1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,45.630000
1769637630.467349,0,-3.100000,0.000000,0.000000,1.140000,0.000000,0.000000,0.000000,0.000000,8.000000,45.650000
1769637630.482458,0,10.100000,0.000000,0.000000,1.120000,0.000000,0.000000,0.000000,0.000000,8.000000,45.660000
1769637630.482458,0,-1.960000,0.000000,0.000000,1.140000,0.000000,0.000000,0.000000,0.000000,8.000000,45.680000
1769637630.513908,0,-3.140000,0.000000,0.000000,1.190000,0.000000,0.000000,0.000000,0.000000,8.000000,45.700000
1769637630.513908,0,10.860000,0.000000,0.000000,1.160000,0.000000,0.000000,0.000000,0.000000,8.000000,45.700000
1769637630.561080,0,-3.640000,0.000000,0.000000,1.190000,0.000000,0.000000,0.000000,0.000000,8.000000,45.720000
1769637630.561080,0,14.900000,0.000000,0.000000,1.130000,0.000000,0.000000,0.000000,0.100000,8.000000,45.740000
1769637630.561080,0,5.960000,0.000000,0.000000,1.080000,0.000000,0.000000,0.000000,0.000000,8.000000,45.750000
1769637630.561080,0,19.180000,0.000000,0.000000,1.010000,0.000000,0.000000,0.000000,0.000000,8.000000,45.770000
1769637630.597374,0,11.860000,0.000000,0.000000,0.920000,0.000000,0.000000,0.000000,0.000000,8.000000,45.790000
1769637630.608344,0,10.810000,0.000000,0.000000,0.770000,0.000000,0.000000,0.000000,0.000000,8.000000,45.790000
1769637630.623974,0,10.850000,0.000000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,8.000000,45.810000
1769637630.639911,0,7.170000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,8.000000,45.830000
1769637630.671786,0,-5.150000,0.000000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,45.840000
1769637630.698051,0,-1.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,45.860000
1769637630.698051,0,17.570000,0.000000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,45.880000
1769637630.721203,0,7.610000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,45.880000
1769637630.721203,0,85.540000,0.000000,0.000000,-0.820000,0.000000,0.000000,0.000000,0.000000,8.000000,45.900000
1769637630.734918,0,-50.340000,0.000000,0.000000,-0.670000,0.000000,0.000000,0.000000,0.000000,8.000000,45.910000
1769637630.750736,0,23.650000,0.000000,0.000000,-0.910000,0.000000,0.000000,0.000000,0.000000,8.000000,45.930000
1769637630.778251,0,21.460000,0.000000,0.000000,-1.130000,0.000000,0.000000,0.000000,0.000000,8.000000,45.950000
1769637630.803315,0,6.590000,0.000000,0.000000,-1.370000,0.000000,0.000000,0.000000,0.000000,8.000000,45.970000
1769637630.803315,0,12.220000,0.000000,0.000000,-1.590000,0.000000,0.000000,0.000000,0.000000,8.000000,45.970000
1769637630.819637,0,10.180000,0.000000,0.000000,-1.670000,0.000000,0.000000,0.000000,0.200000,8.000000,46.000000
1769637630.819637,0,10.100000,0.000000,0.000000,-1.800000,0.000000,0.000000,0.010000,0.000000,8.000000,46.000000
1769637630.850402,0,-5.170000,0.000000,0.000000,-1.870000,0.000000,0.000000,0.020000,0.000000,8.000000,46.020000
1769637630.881759,0,21.460000,0.000000,0.000000,-1.960000,0.000000,0.000000,0.030000,0.000000,8.000000,46.040000
1769637630.881759,0,3.030000,0.000000,0.000000,-1.950000,0.000000,0.000000,0.050000,0.000000,8.000000,46.060000
1769637630.913387,0,12.980000,0.000000,0.000000,-1.980000,0.000000,0.000000,0.050000,0.000000,8.000000,46.080000
1769637630.929055,0,13.980000,0.000000,0.000000,-1.980000,0.000000,0.000000,0.050000,0.000000,8.000000,46.090000
1769637630.929055,0,-15.520000,0.000000,0.000000,-1.890000,0.000000,0.000000,0.050000,0.000000,8.000000,46.110000
1769637630.960668,0,-7.230000,0.000000,0.000000,-1.790000,0.000000,0.000000,0.020000,0.000000,8.000000,46.110000
1769637630.960668,0,-5.530000,0.000000,0.000000,-1.620000,0.000000,0.000000,0.010000,0.000000,8.000000,46.130000
1769637630.992178,0,-16.700000,0.000000,0.000000,-1.380000,0.000000,0.000000,0.000000,0.000000,8.000000,46.150000
1769637630.992178,0,11.140000,0.000000,0.000000,-1.020000,0.000000,0.000000,0.000000,0.000000,8.000000,46.160000
1769637631.007949,0,-30.700000,0.000000,0.000000,-0.680000,0.000000,0.000000,0.010000,0.000000,8.000000,46.180000
1769637631.039688,0,-29.020000,0.000000,0.000000,-0.330000,0.000000,0.000000,0.010000,0.000000,8.000000,46.200000
1769637631.039688,0,4.000000,0.000000,0.000000,-0.210000,0.000000,0.000000,0.020000,0.000000,8.000000,46.220000
1769637631.071326,0,-17.020000,0.000000,0.000000,-0.030000,0.000000,0.000000,0.030000,0.000000,8.000000,46.220000
1769637631.071326,0,-23.540000,0.000000,0.000000,0.280000,0.000000,0.000000,0.050000,0.000000,8.000000,46.250000
1769637631.098020,0,-7.030000,0.000000,0.000000,1.040000,0.000000,0.000000,0.070000,0.000000,8.000000,46.250000
1769637631.098020,0,-10.500000,0.000000,0.000000,0.870000,0.000000,0.000000,0.070000,0.000000,8.000000,46.270000
1769637631.101688,0,-2.090000,0.000000,0.000000,1.190000,0.000000,0.000000,0.050000,0.000000,8.000000,46.290000
1769637631.127561,0,-7.050000,0.000000,0.000000,1.130000,0.000000,0.000000,0.050000,0.000000,8.000000,46.310000
1769637631.149521,0,7.590000,0.000000,0.000000,1.160000,0.000000,0.000000,0.050000,0.200000,8.000000,46.310000
1769637631.181362,0,0.560000,0.000000,0.000000,1.240000,0.000000,0.000000,0.050000,0.000000,8.000000,46.340000
1769637631.181362,0,5.780000,0.000000,0.000000,1.210000,0.000000,0.000000,0.050000,0.000000,8.000000,46.340000
1769637631.206619,0,2.210000,0.000000,0.000000,1.240000,0.000000,0.000000,0.030000,0.000000,8.000000,46.360000
1769637631.206619,0,-3.720000,0.000000,0.000000,1.260000,0.000000,0.000000,0.030000,0.000000,8.000000,46.380000
1769637631.206619,0,6.320000,0.000000,0.000000,1.250000,0.000000,0.000000,0.030000,0.000000,8.000000,46.400000
1769637631.244152,0,7.880000,0.000000,0.000000,1.160000,0.000000,0.000000,0.030000,0.000000,8.000000,46.400000
