epoch,mark,Unused,Ankused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds),Battery Level (Volts),???
1770067804.730390,0,0.000000,0.110000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.200000,8.000000,40.180000
1770067804.730390,0,0.000000,0.100000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.180000,8.000000,40.200000
1770067804.730390,0,0.000000,0.070000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.180000,8.000000,40.220000
1770067804.730390,0,0.000000,0.100000,0.000000,-0.230000,0.000000,0.000000,0.000000,0.180000,8.000000,40.220000
1770067804.755960,0,0.000000,0.100000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.180000,8.000000,40.240000
1770067804.777678,0,0.000000,0.100000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.200000,8.000000,40.250000
1770067804.809420,0,0.000000,0.100000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.200000,8.000000,40.270000
1770067804.809420,0,0.000000,0.070000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.210000,8.000000,40.290000
1770067804.825227,0,0.000000,0.050000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.230000,8.000000,40.290000
1770067804.825227,0,0.000000,0.110000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.210000,8.000000,40.310000
1770067804.825227,0,0.000000,0.100000,0.000000,-0.090000,0.000000,0.000000,0.000000,0.210000,8.000000,40.330000
1770067804.856814,0,0.000000,0.100000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.210000,8.000000,40.340000
1770067804.856814,0,0.000000,0.050000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.210000,8.000000,40.360000
1770067804.936321,0,0.000000,0.100000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.210000,8.000000,40.380000
1770067804.952137,0,0.000000,0.170000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.200000,8.000000,40.400000
1770067804.968183,0,0.000000,0.070000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.200000,8.000000,40.400000
1770067804.983848,0,0.000000,0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.210000,8.000000,40.430000
1770067804.983848,0,0.000000,0.110000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.230000,8.000000,40.450000
1770067805.032959,0,0.000000,0.100000,0.000000,-0.210000,0.000000,0.000000,0.000000,0.230000,8.000000,40.470000
1770067805.032959,0,0.000000,0.100000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.250000,8.000000,40.490000
1770067805.032959,0,0.000000,0.070000,0.000000,-0.210000,0.000000,0.000000,0.000000,0.250000,8.000000,40.500000
1770067805.032959,0,0.000000,0.100000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.250000,8.000000,40.520000
1770067805.078729,0,0.000000,0.050000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.270000,8.000000,40.520000
1770067805.078729,0,0.000000,0.100000,0.000000,-0.180000,0.000000,0.000000,0.000000,0.280000,8.000000,40.540000
1770067805.078729,0,0.000000,0.070000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.280000,8.000000,40.560000
1770067805.110202,0,0.000000,0.070000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.280000,8.000000,40.580000
1770067805.125873,0,0.000000,0.100000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.280000,8.000000,40.590000
1770067805.173579,0,0.000000,0.050000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.280000,8.000000,40.610000
1770067805.173579,0,0.000000,0.070000,0.000000,-0.150000,0.000000,0.000000,0.000000,0.280000,8.000000,40.630000
1770067805.173579,0,0.000000,0.110000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.280000,8.000000,40.630000
1770067805.205052,0,0.000000,0.050000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.270000,8.000000,40.650000
1770067805.205052,0,0.000000,0.100000,0.000000,0.010000,0.000000,0.000000,0.000000,0.230000,8.000000,40.680000
1770067805.252149,0,0.000000,0.100000,0.000000,0.070000,0.000000,0.000000,0.000000,0.200000,8.000000,40.700000
1770067805.252149,0,0.000000,0.070000,0.000000,0.100000,0.000000,0.000000,0.000000,0.180000,8.000000,40.720000
1770067805.252149,0,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.150000,8.000000,40.720000
1770067805.283611,0,0.000000,0.070000,0.000000,0.050000,0.000000,0.000000,0.000000,0.120000,8.000000,40.750000
1770067805.315223,0,0.000000,0.070000,0.000000,0.150000,0.000000,0.000000,0.000000,0.100000,8.000000,40.750000
1770067805.315223,0,0.000000,0.100000,0.000000,0.180000,0.000000,0.000000,0.000000,0.070000,8.000000,40.770000
1770067805.330925,0,0.000000,0.110000,0.000000,0.100000,0.000000,0.000000,0.000000,0.050000,8.000000,40.790000
1770067805.330925,0,0.000000,0.070000,0.000000,0.140000,0.000000,0.000000,0.000000,0.050000,8.000000,40.810000
1770067805.378544,0,0.000000,0.100000,0.000000,0.150000,0.000000,0.000000,0.000000,0.020000,8.000000,40.810000
1770067805.378544,0,0.000000,0.870000,0.000000,0.120000,0.000000,0.000000,0.000000,0.020000,8.000000,40.840000
1770067805.378544,0,0.000000,2.520000,0.000000,0.230000,0.000000,0.000000,0.000000,0.010000,8.000000,40.840000
